127.0.0.1 - - [14/May/2025:14:47:17 -0300] "POST /wp-cron.php?doing_wp_cron=1747244837.7889380455017089843750 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2025:14:59:52 -0300] "GET /wp-admin/ HTTP/1.1" 302 -
127.0.0.1 - - [14/May/2025:14:59:52 -0300] "GET /wp-login.php?redirect_to=http%3A%2F%2Fwebtagger.local%2Fwp-admin%2F&reauth=1 HTTP/1.1" 200 4425
127.0.0.1 - - [14/May/2025:14:59:53 -0300] "GET /wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6 HTTP/1.1" 200 9141
127.0.0.1 - - [14/May/2025:14:59:53 -0300] "GET /wp-includes/js/underscore.min.js?ver=1.13.7 HTTP/1.1" 200 18905
127.0.0.1 - - [14/May/2025:14:59:53 -0300] "GET /wp-admin/js/password-strength-meter.min.js?ver=6.8.1 HTTP/1.1" 200 1123
127.0.0.1 - - [14/May/2025:14:59:53 -0300] "GET /wp-includes/js/wp-util.min.js?ver=6.8.1 HTTP/1.1" 200 1426
127.0.0.1 - - [14/May/2025:14:59:53 -0300] "GET /wp-includes/js/dist/dom-ready.min.js?ver=f77871ff7694fffea381 HTTP/1.1" 200 457
127.0.0.1 - - [14/May/2025:14:59:53 -0300] "GET /wp-includes/js/dist/a11y.min.js?ver=3156534cc54473497e14 HTTP/1.1" 200 2358
127.0.0.1 - - [14/May/2025:14:59:53 -0300] "GET /wp-admin/js/user-profile.min.js?ver=6.8.1 HTTP/1.1" 200 6862
127.0.0.1 - - [14/May/2025:14:59:53 -0300] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5Bchunk_0%5D=dashicons,buttons,forms,l10n,login&ver=6.8.1 HTTP/1.1" 200 103138
127.0.0.1 - - [14/May/2025:14:59:53 -0300] "GET /wp-admin/images/wordpress-logo.svg?ver=20131107 HTTP/1.1" 200 1521
127.0.0.1 - - [14/May/2025:14:59:53 -0300] "GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=clipboard,jquery-core,jquery-migrate,zxcvbn-async,wp-hooks&ver=6.8.1 HTTP/1.1" 200 115271
127.0.0.1 - - [14/May/2025:14:59:54 -0300] "GET /wp-includes/js/zxcvbn.min.js HTTP/1.1" 200 822237
127.0.0.1 - - [14/May/2025:14:59:54 -0300] "GET /favicon.ico HTTP/1.1" 302 -
127.0.0.1 - - [14/May/2025:14:59:54 -0300] "GET /wp-includes/images/w-logo-blue-white-bg.png HTTP/1.1" 200 4119
127.0.0.1 - - [14/May/2025:15:00:10 -0300] "POST /wp-login.php HTTP/1.1" 200 4796
127.0.0.1 - - [14/May/2025:15:00:36 -0300] "POST /wp-login.php HTTP/1.1" 200 4796
127.0.0.1 - - [14/May/2025:15:00:51 -0300] "GET /wp-login.php?action=lostpassword HTTP/1.1" 200 2099
127.0.0.1 - - [14/May/2025:15:00:56 -0300] "POST /wp-login.php?action=lostpassword HTTP/1.1" 302 -
127.0.0.1 - - [14/May/2025:15:00:56 -0300] "GET /wp-login.php?checkemail=confirm HTTP/1.1" 200 1274
127.0.0.1 - - [14/May/2025:15:01:22 -0300] "GET / HTTP/1.1" 200 50162
127.0.0.1 - - [14/May/2025:15:01:22 -0300] "GET /wp-includes/blocks/navigation/style.min.css?ver=6.8.1 HTTP/1.1" 200 16449
127.0.0.1 - - [14/May/2025:15:01:22 -0300] "GET /wp-content/themes/twentytwentyfive/style.css?ver=1.2 HTTP/1.1" 200 2503
127.0.0.1 - - [14/May/2025:15:01:22 -0300] "GET /wp-includes/js/dist/script-modules/block-library/navigation/view.min.js?ver=61572d447d60c0aa5240 HTTP/1.1" 200 3358
127.0.0.1 - - [14/May/2025:15:01:22 -0300] "GET /wp-includes/js/dist/script-modules/interactivity/index.min.js?ver=55aebb6e0a16726baffb HTTP/1.1" 200 38256
127.0.0.1 - - [14/May/2025:15:01:22 -0300] "GET /wp-content/themes/twentytwentyfive/assets/fonts/manrope/Manrope-VariableFont_wght.woff2 HTTP/1.1" 200 53600
127.0.0.1 - - [14/May/2025:15:01:22 -0300] "GET /wp-includes/js/wp-emoji-release.min.js?ver=6.8.1 HTTP/1.1" 200 19264
127.0.0.1 - - [14/May/2025:15:01:48 -0300] "GET /wp-login.php?checkemail=confirm HTTP/1.1" 200 1274
127.0.0.1 - - [14/May/2025:15:01:53 -0300] "GET /wp-login.php?action=lostpassword HTTP/1.1" 200 2099
127.0.0.1 - - [14/May/2025:15:02:05 -0300] "GET /wp-admin/ HTTP/1.1" 302 -
127.0.0.1 - - [14/May/2025:15:02:05 -0300] "GET /wp-login.php?redirect_to=http%3A%2F%2Fwebtagger.local%2Fwp-admin%2F&reauth=1 HTTP/1.1" 200 4425
127.0.0.1 - - [14/May/2025:15:02:19 -0300] "POST /wp-login.php HTTP/1.1" 302 -
127.0.0.1 - - [14/May/2025:15:02:19 -0300] "GET /wp-admin/ HTTP/1.1" 200 115246
127.0.0.1 - - [14/May/2025:15:02:22 -0300] "GET /wp-includes/js/thickbox/thickbox.css?ver=6.8.1 HTTP/1.1" 200 2659
127.0.0.1 - - [14/May/2025:15:02:22 -0300] "GET /wp-admin/js/common.min.js?ver=6.8.1 HTTP/1.1" 200 23676
127.0.0.1 - - [14/May/2025:15:02:22 -0300] "GET /wp-includes/css/editor.min.css?ver=6.8.1 HTTP/1.1" 200 26851
127.0.0.1 - - [14/May/2025:15:02:22 -0300] "GET /wp-includes/js/hoverintent-js.min.js?ver=2.2.1 HTTP/1.1" 200 1718
